"Bevolking en bevolkingsontwikkeling; per maand, kwartaal en jaar"
"Onderwerpen";"Migratie";"Migratie";"Migratie";"Migratie";"Migratie";"Migratie"
"Onderwerpen";"Binnen Nederland verhuisde personen";"Binnen Nederland verhuisde personen";"Binnen Nederland verhuisde personen";"Binnen Nederland verhuisde personen";"Binnen Nederland verhuisde personen";"Binnen Nederland verhuisde personen"
"Onderwerpen";"Totaal verhuisde personen";"Totaal verhuisde personen";"Totaal verhuisde personen";"Totaal verhuisde personen";"Totaal verhuisde personen";"Totaal verhuisde personen"
"Onderwerpen";"Totaal personen";"Personen in echtpaar";"Personen in eenoudergezin met vader";"Personen in eenoudergezin met moeder";"Personen in samenwonend paar met kind...";"Alleengaanden"
"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1995";"1717362";"605626";"13194";"136017";"24569";"937956"
"1996";"1714185";"589350";"13492";"137516";"26080";"947747"
"1997";"1740189";"598956";"13304";"146409";"30797";"950723"
"1998";"1774011";"598951";"13520";"150518";"34777";"976245"
"1999";"1695702";"566263";"13685";"149559";"36715";"929480"
"2000";"1586353";"513590";"13871";"144150";"36709";"878033"
"2001";"1562620";"492993";"14719";"147730";"39102";"868076"
"2002";"1595926";"488101";"14885";"157795";"43640";"891505"
"2003";"1566511";"455917";"14731";"160436";"45955";"889472"
"2004";"1588247";"454135";"15054";"166883";"50901";"901274"
"2005";"1651575";"467583";"15856";"174697";"58912";"934527"
"2006";"1678119";"477973";"15675";"174695";"65940";"943836"
"2007";"1639180";"450888";"15323";"174576";"65063";"933330"
"2008";"1632391";"426515";"15810";"173297";"66199";"950570"
"2009";"1497820";"329377";"14144";"165232";"54356";"934711"
"2010";"1462234";".";".";".";".";"."
"2011";"1459027";".";".";".";".";"."
"2012";"1478861";".";".";".";".";"."
"2013";"1473168";".";".";".";".";"."
"2014";"1563338";".";".";".";".";"."
"ï¿½ Centraal Bureau voor de Statistiek, Den Haag/Heerlen 11-10-2017"
